TimeStep;Np;Nbound;Nfixed;Nmoving;Nfloat;Nfluid
0;10047;2448;2448;0;0;7599

Part;Time;Count;Pos_Xmin;Pos_Xmax;Pos_Xmean;Pos_Ymin;Pos_Ymax;Pos_Ymean;Pos_Zmin;Pos_Zmax;Pos_Zmean;Idp_min;Idp_max;Idp_mean;Vel_min;Vel_max;Vel_mean;Vel_Xmin;Vel_Xmax;Vel_Xmean;Vel_Ymin;Vel_Ymax;Vel_Ymean;Vel_Zmin;Vel_Zmax;Vel_Zmean;Rhop_min;Rhop_max;Rhop_mean;Mass_min;Mass_max;Mass_mean;Press_min;Press_max;Press_mean;Type_min;Type_max;Type_mean;Acec_min;Acec_max;Acec_mean;Acec_Xmin;Acec_Xmax;Acec_Xmean;Acec_Ymin;Acec_Ymax;Acec_Ymean;Acec_Zmin;Acec_Zmax;Acec_Zmean;CellOffSpring_min;CellOffSpring_max;CellOffSpring_mean;GradVel_min;GradVel_max;GradVel_mean;Qfxx_min;Qfxx_max;Qfxx_mean;Qfxy_min;Qfxy_max;Qfxy_mean;Qfxz_min;Qfxz_max;Qfxz_mean;Qfyy_min;Qfyy_max;Qfyy_mean;Qfyz_min;Qfyz_max;Qfyz_mean;Qfzz_min;Qfzz_max;Qfzz_mean;StrainDot_min;StrainDot_max;StrainDot_mean;StrainDot_Xmin;StrainDot_Xmax;StrainDot_Xmean;StrainDot_Ymin;StrainDot_Ymax;StrainDot_Ymean;StrainDot_Zmin;StrainDot_Zmax;StrainDot_Zmean;VonMises3D_min;VonMises3D_max;VonMises3D_mean;
0;  0.000000000000E+00;10047; -2.000000029802E-01;  1.299999952316E+00;  4.561909022329E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.499999880791E-01;  4.499999880791E-01;  0.000000000000E+00;  0.000000000000E+00;  1.004600000000E+04;  5.023000000000E+03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  1.000000000000E+03;  1.000000000000E+03;  1.000000000000E+03;  1.000000014901E-01;  1.000000014901E-01;  1.000000014901E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  3.000000000000E+00;  2.269035532995E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  4.000000000000E+04;  4.000000000000E+04;  4.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  4.000000000000E+04;  4.000000000000E+04;  4.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  4.000000000000E+04;  4.000000000000E+04;  4.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;
1;  6.004412576529E-02;10047; -2.000000029802E-01;  1.381879210472E+00;  4.759800234599E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.499999880791E-01;  4.499999880791E-01; -4.295821860427E-10;  0.000000000000E+00;  1.004600000000E+04;  5.023000000000E+03;  0.000000000000E+00;  1.927795362608E+00;  5.276438777891E-01;  0.000000000000E+00;  1.927489638329E+00;  5.272008732978E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -9.374072402716E-02;  9.374064207077E-02; -1.642688837752E-08;  9.763755493164E+02;  1.007511779785E+03;  9.976610789883E+02;  1.000000014901E-01;  1.232433095574E-01;  1.047280558025E-01; -1.957243359375E+04;  6.223051269531E+03; -1.933895797700E+03;  0.000000000000E+00;  3.000000000000E+00;  2.269035532995E+00;  0.000000000000E+00;  3.521274185147E+02;  2.973281992090E+01; -1.597508392334E+02;  3.061666870117E+02; -6.308295464237E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.988933105469E+02;  2.988941955566E+02;  1.123142684741E-06;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.799255609512E-01;  7.357509613037E+00;  9.978905392276E-01;  2.555905664062E+04;  4.002202734375E+04;  3.685486716223E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.477023124695E+01;  1.221189270020E+02; -1.566136335587E-01;  4.000000000000E+04;  4.000000000000E+04;  4.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  3.944348046875E+04;  4.010503125000E+04;  3.994463735405E+04;  0.000000000000E+00;  7.394920089947E+00;  1.042416225136E+00; -3.013643324375E-01;  7.394825935364E+00;  9.928572571473E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -3.707156777382E-01;  3.658430874348E-01;  5.033281806237E-03;  0.000000000000E+00;  2.942977812500E+05;  6.061049421260E+03;
2;  1.200112366018E-01;10047; -2.000000029802E-01;  1.465426087379E+00;  4.944234026204E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.499999880791E-01;  4.499999880791E-01; -1.627475252072E-09;  0.000000000000E+00;  1.004600000000E+04;  5.023000000000E+03;  0.000000000000E+00;  1.036958575249E+00;  2.460692259733E-01; -2.169626951218E-01;  1.036958575249E+00;  1.284259135678E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.286228895187E-01;  1.286229640245E-01; -1.394299738542E-08;  9.606198120117E+02;  1.008571655273E+03;  9.960030888637E+02;  1.000000014901E-01;  1.520858108997E-01;  1.094396386358E-01; -3.262574218750E+04;  7.079239746094E+03; -3.285411859787E+03;  0.000000000000E+00;  3.000000000000E+00;  2.269035532995E+00;  0.000000000000E+00;  4.452126823988E+02;  1.938017944463E+01; -1.436882324219E+02;  2.568405761719E+02;  7.321403067562E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -3.979943847656E+02;  3.979944458008E+02;  1.160323474310E-06;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -5.175848603249E-01;  6.157484531403E+00;  3.729719489190E-01;  1.703710156250E+04;  4.000000000000E+04;  3.486006324163E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.629580879211E+01;  1.969390106201E+02;  2.182925383405E+00;  4.000000000000E+04;  4.000000000000E+04;  4.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  3.885775390625E+04;  4.010880859375E+04;  3.990454070012E+04;  0.000000000000E+00;  6.550996976773E+00;  6.379238939920E-01; -4.961477518082E-01;  6.536017417908E+00;  3.488852952110E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -5.880151987076E-01;  7.192545533180E-01;  2.408665377538E-02;  0.000000000000E+00;  5.766127500000E+05;  9.465826537216E+03;
3;  1.800296994069E-01;10047; -2.000000029802E-01;  1.536307692528E+00;  5.049938479489E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.499999880791E-01;  4.499999880791E-01; -1.622561756055E-09;  0.000000000000E+00;  1.004600000000E+04;  5.023000000000E+03;  0.000000000000E+00;  1.414849807818E+00;  2.442069587975E-01; -1.013180837035E-01;  1.413752198219E+00;  2.296200109050E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.397898942232E-01;  1.397900730371E-01;  2.209258078872E-08;  9.823010253906E+02;  1.013656005859E+03;  1.000137852253E+03;  1.000000014901E-01;  1.864335089922E-01;  1.141431379340E-01; -1.466328906250E+04;  1.131375390625E+04;  1.185594839179E+02;  0.000000000000E+00;  3.000000000000E+00;  2.269035532995E+00;  0.000000000000E+00;  1.775530090332E+02;  2.100952755994E+01; -1.775530090332E+02;  1.063130722046E+02; -3.568556668492E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -8.695426177979E+01;  8.695422363281E+01;  1.234650611326E-06;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.145726382732E-01;  6.361567020416E+00;  5.238849738121E-01;  1.173754785156E+04;  4.058118359375E+04;  3.395877427108E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -4.210547256470E+01;  6.063966369629E+01;  7.861089463565E-01;  4.000000000000E+04;  4.000000000000E+04;  4.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  3.836306640625E+04;  4.012487890625E+04;  3.983227285936E+04;  0.000000000000E+00;  6.863631406565E+00;  5.833919643434E-01; -2.677341401577E-01;  6.845179080963E+00;  5.107774769565E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.640005707741E-01;  6.709901690483E-01;  1.310749678161E-02;  0.000000000000E+00;  1.969219843750E+05;  5.101427190944E+03;
4;  2.400560356398E-01;10047; -2.000000029802E-01;  1.617817282677E+00;  5.196021653403E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.499999880791E-01;  4.499999880791E-01;  1.203215888977E-09;  0.000000000000E+00;  1.004600000000E+04;  5.023000000000E+03;  0.000000000000E+00;  1.531316496530E+00;  2.386760684434E-01; -6.219773739576E-02;  1.530281782150E+00;  2.322257462299E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.705041825771E-01;  1.705046445131E-01;  7.419084538119E-08;  9.840445556641E+02;  1.013511047363E+03;  9.985504130282E+02;  1.000000014901E-01;  2.266638278961E-01;  1.188440315623E-01; -1.321878710938E+04;  1.119365917969E+04; -1.183453092310E+03;  0.000000000000E+00;  3.000000000000E+00;  2.269035532995E+00;  0.000000000000E+00;  2.281494687748E+02;  2.218387099337E+01; -2.214051818848E+02;  1.077350692749E+02; -1.738210592411E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.025486450195E+02;  1.025489120483E+02;  8.215186168157E-07;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -3.074270188808E-01;  6.882654190063E+00;  4.923867593922E-01;  7.703206542969E+03;  4.026503906250E+04;  3.297921581696E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.854884719849E+01;  5.370288467407E+01;  1.015795986369E+00;  4.000000000000E+04;  4.000000000000E+04;  4.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  3.784745703125E+04;  4.007899218750E+04;  3.980400156569E+04;  0.000000000000E+00;  7.383172157176E+00;  5.616655854902E-01; -5.900720953941E-01;  7.349236965179E+00;  4.861680295598E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -7.701739072800E-01;  8.024337887764E-01;  6.218730035944E-03;  0.000000000000E+00;  1.894925937500E+05;  5.603021338030E+03;
5;  3.000338009692E-01;10047; -2.000000029802E-01;  1.695670485497E+00;  5.318821311908E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.499999880791E-01;  4.499999880791E-01;  6.982803706987E-09;  0.000000000000E+00;  1.004600000000E+04;  5.023000000000E+03;  0.000000000000E+00;  1.235802876120E+00;  2.062631944959E-01; -5.596879497170E-02;  1.230454683304E+00;  1.816780900602E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.359239667654E-01;  1.359249800444E-01;  1.157885485143E-07;  9.842792968750E+02;  1.013344116211E+03;  9.991411511951E+02;  1.000000014901E-01;  2.717038094997E-01;  1.235459219341E-01; -1.302432324219E+04;  1.105539062500E+04; -6.737428783716E+02;  0.000000000000E+00;  3.000000000000E+00;  2.269035532995E+00;  0.000000000000E+00;  2.234727468533E+02;  1.630796627654E+01; -2.170018005371E+02;  8.796767425537E+01;  8.860269923657E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -7.764881134033E+01;  7.764890289307E+01;  1.233188448007E-07;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -4.777934551239E-01;  7.473755836487E+00;  2.669551681428E-01;  5.388451660156E+03;  4.029655859375E+04;  3.238083556537E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.340023040771E+01;  6.904928588867E+01;  1.545608007532E+00;  4.000000000000E+04;  4.000000000000E+04;  4.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  3.720301171875E+04;  4.007982421875E+04;  3.975654694965E+04;  0.000000000000E+00;  8.303881595327E+00;  3.787063962972E-01; -5.401381254196E-01;  8.264995574951E+00;  2.499032858558E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.021808743477E+00;  6.402469873428E-01;  1.705188208952E-02;  0.000000000000E+00;  1.831575312500E+05;  5.573786290924E+03;
6;  3.600131226220E-01;10047; -2.000000029802E-01;  1.772046327591E+00;  5.432259429606E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.499999880791E-01;  4.499999880791E-01;  1.499843387909E-08;  0.000000000000E+00;  1.004600000000E+04;  5.023000000000E+03;  0.000000000000E+00;  1.418507164545E+00;  2.018170618028E-01; -6.471662223339E-02;  1.416653871536E+00;  1.987508786822E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.684867739677E-01;  1.684878617525E-01;  1.411892741414E-07;  9.850473632812E+02;  1.014862609863E+03;  9.999629128472E+02;  1.000000014901E-01;  3.215980231762E-01;  1.282339310525E-01; -1.238269238281E+04;  1.231342968750E+04; -2.113981907524E+01;  0.000000000000E+00;  3.000000000000E+00;  2.269035532995E+00;  0.000000000000E+00;  2.108730468750E+02;  1.579846098133E+01; -2.108730468750E+02;  1.144294128418E+02;  1.160360010840E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.115862274170E+01;  6.115857696533E+01;  9.079456833838E-07;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.665145397186E-01;  7.456696510315E+00;  3.647726926984E-01;  3.971071044922E+03;  4.042817968750E+04;  3.195010495238E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.857313156128E+01;  6.923081970215E+01;  1.304320177039E+00;  4.000000000000E+04;  4.000000000000E+04;  4.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  3.676205468750E+04;  4.007378125000E+04;  3.971423157449E+04;  0.000000000000E+00;  8.041165788017E+00;  4.071752611526E-01; -2.895290553570E-01;  8.021318435669E+00;  3.569675343789E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -8.803189992905E-01;  8.114770650864E-01;  7.805158130108E-03;  0.000000000000E+00;  1.324444062500E+05;  5.139015730717E+03;
7;  4.200046304646E-01;10047; -2.000000029802E-01;  1.851668477058E+00;  5.550354038760E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.499999880791E-01;  4.499999880791E-01;  2.348744521454E-08;  0.000000000000E+00;  1.004600000000E+04;  5.023000000000E+03;  0.000000000000E+00;  1.513863382007E+00;  1.971489697087E-01; -5.069785937667E-02;  1.513117194176E+00;  1.945882441780E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.743544489145E-01;  1.743556410074E-01;  1.350800685463E-07;  9.843214111328E+02;  1.013712280273E+03;  9.991462731607E+02;  1.000000014901E-01;  3.770415484905E-01;  1.329369566637E-01; -1.292864843750E+04;  1.136037011719E+04; -7.027517244030E+02;  0.000000000000E+00;  3.000000000000E+00;  2.269035532995E+00;  0.000000000000E+00;  1.809793774660E+02;  1.707962619464E+01; -1.809411926270E+02;  1.225873413086E+02; -1.558054390341E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -7.065150451660E+01;  7.065299224854E+01; -9.198816789374E-08;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.565509080887E-01;  6.434651851654E+00;  3.908400326846E-01;  2.835470947266E+03;  4.030550781250E+04;  3.150258783748E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.550815963745E+01;  6.472559356689E+01;  1.145220850620E+00;  4.000000000000E+04;  4.000000000000E+04;  4.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  3.629405859375E+04;  4.007360156250E+04;  3.968771509958E+04;  0.000000000000E+00;  6.970745162389E+00;  4.404162216945E-01; -4.229037165642E-01;  6.951553821564E+00;  3.982713938137E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -7.049245834351E-01;  8.441870808601E-01; -7.431361102840E-03;  0.000000000000E+00;  1.664201250000E+05;  5.493049963528E+03;
8;  4.800516177439E-01;10047; -2.000000029802E-01;  1.930791378021E+00;  5.657317824099E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.499999880791E-01;  4.499999880791E-01;  3.078494508700E-08;  0.000000000000E+00;  1.004600000000E+04;  5.023000000000E+03;  0.000000000000E+00;  1.392402887345E+00;  1.748850331820E-01; -6.818240880966E-02;  1.392402887344E+00;  1.599408530041E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.539473682642E-01;  1.539482176304E-01;  1.025507018180E-07;  9.840863647461E+02;  1.013289001465E+03;  9.989348957847E+02;  1.000000014901E-01;  4.343064129353E-01;  1.376795917727E-01; -1.261098144531E+04;  1.100966406250E+04; -8.446070643714E+02;  0.000000000000E+00;  3.000000000000E+00;  2.269035532995E+00;  0.000000000000E+00;  1.990763727410E+02;  1.527504500226E+01; -1.968646392822E+02;  9.450698852539E+01; -2.248028844359E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -8.157498931885E+01;  8.157533264160E+01; -7.441779563706E-07;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -5.772486925125E-01;  7.634315013885E+00;  2.401588971264E-01;  2.167357666016E+03;  4.028627343750E+04;  3.115895697035E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.799986076355E+01;  7.316969299316E+01;  1.518263331347E+00;  4.000000000000E+04;  4.000000000000E+04;  4.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  3.564612109375E+04;  4.007667968750E+04;  3.965402380180E+04;  0.000000000000E+00;  8.053057125735E+00;  3.073394849814E-01; -6.058164834976E-01;  8.015369415283E+00;  2.199752120060E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.093666434288E+00;  6.048523187637E-01;  2.018368486668E-02;  0.000000000000E+00;  1.822592968750E+05;  6.160634638761E+03;
9;  5.400422806231E-01;10047; -2.000000029802E-01;  2.007436752319E+00;  5.754600995864E-01;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -4.499999880791E-01;  4.499999880791E-01;  3.587963176195E-08;  0.000000000000E+00;  1.004600000000E+04;  5.023000000000E+03;  0.000000000000E+00;  1.345042472009E+00;  1.673961166223E-01; -2.982340194285E-02;  1.340784549713E+00;  1.613786091637E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.548850983381E-01;  1.548857688904E-01;  4.565676668698E-08;  9.847161254883E+02;  1.013912658691E+03;  9.996483515757E+02;  1.000000014901E-01;  4.920851290226E-01;  1.424313792923E-01; -1.265594433594E+04;  1.152638964844E+04; -2.715556720213E+02;  0.000000000000E+00;  3.000000000000E+00;  2.269035532995E+00;  0.000000000000E+00;  2.076257163016E+02;  1.192190449536E+01; -2.019816284180E+02;  9.959445190430E+01;  2.010615339797E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -5.824089813232E+01;  5.824067306519E+01; -3.530717879851E-07;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -3.562443554401E-01;  7.968181133270E+00;  2.279432853352E-01;  1.702818969727E+03;  4.035589843750E+04;  3.092764690024E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.135494422913E+01;  7.558583068848E+01;  1.531417056668E+00;  4.000000000000E+04;  4.000000000000E+04;  4.000000000000E+04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  3.517952734375E+04;  4.007607031250E+04;  3.961755632861E+04;  0.000000000000E+00;  8.334017426759E+00;  2.882769196855E-01; -4.073563218117E-01;  8.326318740845E+00;  2.140047495033E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -9.585126638412E-01;  7.054393887520E-01;  1.393853569768E-02;  0.000000000000E+00;  1.605198750000E+05;  5.935145518781E+03;
